;link;Amount;ComplRate;OverSuccess;Duration;NDon;ADon;NInfo;NPers;NComment;NJumpA;NJump1;NDonLevel;BCulture;OtherProject;Facebook;NFacebook
178;https://www.kisskissbankbank.com/fr/projects/le-deuxieme-album-de-panorama-08;11636;116;1;60;164;56.13513513513514;11;3;31;17;111;0;1;0;5;5
179;https://www.kisskissbankbank.com/fr/projects/100-photographies-pour-la-vie;6277;125;1;60;144;34.495652173913044;14;0;10;23;115;0;1;0;5;5
180;https://www.kisskissbankbank.com/fr/projects/i-boycott-org;11307;141;1;60;511;18.94536817102138;11;3;110;185;420;0;0;0;5;5
181;https://www.kisskissbankbank.com/fr/projects/julie-sion-casse-la-baraque;9405;104;0;60;120;77.66990291262135;14;0;49;40;103;0;0;0;5;5
182;https://www.kisskissbankbank.com/fr/projects/design-creation-la-compagnie-des-laines;3880;106;1;60;58;63.06122448979592;7;7;13;16;49;0;0;0;5;5
183;https://www.kisskissbankbank.com/fr/projects/concerto-pour-camionneuse;3171;105;0;60;70;40.39622641509434;14;0;31;23;53;0;1;0;5;5
184;https://www.kisskissbankbank.com/fr/projects/le-3eme-ep-du-zig-zele;3060;255;1;60;60;46.34615384615385;13;1;20;11;52;3;1;1;5;5
185;https://www.kisskissbankbank.com/fr/projects/qui-a-tue-ali-ziri-une-histoire-et-un-film-etouffes;16865;112;1;60;233;77.85483870967742;11;3;32;43;186;0;1;1;5;5
186;https://www.kisskissbankbank.com/fr/projects/o-bio-potager;9055;100;0;60;89;85.32835820895522;9;5;35;15;67;1;0;0;5;5
187;https://www.kisskissbankbank.com/fr/projects/premier-album-de-shuffle-upon-the-hill;4216;105;0;60;130;33.0;9;5;17;26;115;0;1;1;5;5
188;https://www.kisskissbankbank.com/fr/projects/un-camp-de-france-livre-photos;2685;134;1;60;86;31.012345679012345;14;0;13;22;81;0;1;0;5;5
189;https://www.kisskissbankbank.com/fr/projects/sylvie-magnin-sur-art3f-bruxelles;2303;128;1;60;42;45.22222222222222;10;4;12;16;36;0;1;0;5;5
190;https://www.kisskissbankbank.com/fr/projects/le-stand-mobile-de-made-in-froggyland;847;112;1;60;26;32.791666666666664;13;1;8;8;24;6;0;0;5;5
191;https://www.kisskissbankbank.com/fr/projects/23-avril;1210;115;1;196;37;36.333333333333336;14;0;13;12;30;2;1;0;5;5
192;https://www.kisskissbankbank.com/fr/projects/barock;2675;107;1;60;43;53.21052631578947;10;4;12;11;38;0;1;0;5;5
193;https://www.kisskissbankbank.com/fr/projects/visages-de-la-nouvelle-orleans;2794;101;0;60;41;56.833333333333336;13;1;4;6;24;0;1;0;5;5
194;https://www.kisskissbankbank.com/fr/projects/innova-2016-il-va-y-avoir-du-sport--2;1590;106;1;60;48;35.46511627906977;13;1;5;9;43;4;0;1;5;5
195;https://www.kisskissbankbank.com/fr/projects/senegazelle-2016-les-senegazelles-de-laurence-et-fabienne;520;115;1;60;20;24.210526315789473;13;1;22;4;19;1;0;0;5;5
196;https://www.kisskissbankbank.com/fr/projects/le-moyen-age-en-pieces-detachees--4;2243;101;0;60;43;41.972972972972975;14;0;9;14;37;0;1;0;5;5
197;https://www.kisskissbankbank.com/fr/projects/festival-la-vie-en-rock-contre-le-cancer-et-pour-la-vie;2155;107;1;70;20;65.0;12;2;2;6;17;2;1;0;5;5
198;https://www.kisskissbankbank.com/fr/projects/carnet-de-voyage-la-trotte-d-ossopom;2600;100;0;60;63;38.81818181818182;13;1;30;27;55;5;1;0;5;5
199;https://www.kisskissbankbank.com/fr/projects/soutien-covid-19-cameroun-diaspora;5575;129;1;60;72;81.13636363636364;13;0;53;28;66;5;0;0;5;5
200;https://www.kisskissbankbank.com/fr/projects/spectacle-musical-theatralise-en-hommage-a-renaud-le-chanteur-enervant;6515;109;1;60;63;90.17241379310344;12;1;9;13;58;1;1;1;5;5
201;https://www.kisskissbankbank.com/fr/projects/la-grande-aventure-de-la-bd-tome-2;3420;155;1;60;78;42.10526315789474;12;1;9;21;76;2;1;0;5;5
202;https://www.kisskissbankbank.com/fr/projects/accompagnement-humanitaires-hypnose-grece;6240;116;1;60;97;61.411764705882355;6;7;22;24;85;22;0;0;5;5
203;https://www.kisskissbankbank.com/fr/projects/sawa-sawa-exhibition;4323;108;1;60;82;51.45454545454545;6;7;19;34;77;7;1;0;5;5
204;https://www.kisskissbankbank.com/fr/projects/smokin-fuzz-sortie-de-l-album-pour-les-20-ans-du-groupe-objectif-max;8050;268;1;60;156;51.6025641025641;11;2;38;51;156;2;1;0;5;5
205;https://www.kisskissbankbank.com/fr/projects/valery-boston-nouvel-album;5535;123;1;60;79;34.23880597014925;10;3;40;23;67;0;1;0;5;5
206;https://www.kisskissbankbank.com/fr/projects/le-reveil-du-peuple-l-insurrection-de-l-an-vii-de-toulouse-aux-pyrenees;3120;104;0;60;23;38.18181818181818;10;3;12;9;22;0;1;1;5;5
207;https://www.kisskissbankbank.com/fr/projects/une-maison-d-hotes-differente-en-espagne;5180;104;0;60;12;72.11111111111111;5;8;19;1;9;0;0;1;5;5
208;https://www.kisskissbankbank.com/fr/projects/maguy-marin-l-urgence-d-agir;53209;106;1;60;396;57.97604790419162;11;2;52;68;334;0;1;0;5;5
209;https://www.kisskissbankbank.com/fr/projects/cotton-belly-s-nouvel-album-missi;7916;121;1;60;164;39.65925925925926;11;2;58;52;135;0;1;1;5;5
210;https://www.kisskissbankbank.com/fr/projects/l-une-histoire-contemporaine-de-la-petite-fille-et-du-loup;3104;119;1;60;89;34.68354430379747;6;7;22;31;79;0;1;0;5;5
211;https://www.kisskissbankbank.com/fr/projects/action-madagasc-arts-campus-arts-et-metiers-de-paris;8890;111;1;60;271;38.691428571428574;9;4;47;47;159;2;0;1;5;5
212;https://www.kisskissbankbank.com/fr/projects/du-rouquemoute-pour-noel-2017;6596;263;1;60;105;60.2680412371134;11;2;25;30;97;1;1;1;5;5
213;https://www.kisskissbankbank.com/fr/projects/une-charogne;10656;106;1;60;184;52.075471698113205;11;2;40;34;159;8;1;1;5;5
214;https://www.kisskissbankbank.com/fr/projects/prete-moi-ton-temps;3570;178;1;60;138;26.392156862745097;11;2;50;40;86;9;0;0;5;5
215;https://www.kisskissbankbank.com/fr/projects/lilakacemi-paris-au-grand-palais-bijoux-brodes-contemporains-plastrons-couture;4550;113;1;60;66;44.479166666666664;7;6;32;14;48;0;0;0;5;5
216;https://www.kisskissbankbank.com/fr/projects/un-piano-en-soins-palliatifs;4205;168;1;60;91;49.62686567164179;9;4;26;29;67;2;1;0;5;5
217;https://www.kisskissbankbank.com/fr/projects/mission-2017-pour-l-osadoc-orchestre-symphonique-amateur-d-occitanie;4350;124;1;60;65;69.13793103448276;8;5;14;13;58;0;1;1;5;5
